ID,name,dateOfBirth,placeOfBirth,dateOfDeath,placeOfDeath
861,Lawrence Gray,1940-07-05,"Boydview, French Southern Territories",2021-12-10,"Robinsonfort, Israel"
862,Joseph Harper,1963-10-07,"Fordfurt, Canada",2019-06-22,"West Garystad, Yemen"
863,Michael Walker,1971-06-19,"Rossville, Saint Helena",2017-01-29,"East Matthew, Barbados"
864,Omar Butler,1974-08-16,"South Susan, Brazil",2020-09-09,"Sarahfort, Romania"
865,Scott Douglas,1976-06-27,"West Tommyville, American Samoa",2024-04-20,"South Jon, British Virgin Islands"
866,Laurie Byrd,1960-02-25,"Spencerside, British Virgin Islands",2024-01-17,"Hannahview, Macedonia"
867,Miranda Brown,1959-06-02,"Griffinberg, Zambia",2016-05-17,"Simpsonmouth, Paraguay"
868,Jill Levine,1981-02-24,"Navarromouth, Palau",2023-12-04,"Ashleyside, Mauritius"
869,James Kelly,1952-10-16,"Lake Vickieport, Peru",2019-08-03,"Port Kayla, Tanzania"
870,Jay Anderson,1942-04-23,"Mejiaton, Czech Republic",2018-02-28,"Stephaniemouth, Tonga"
871,Jeremy Warren,1984-06-16,"South Scott, Uruguay",2025-04-19,"Andersonfurt, Lao People's Democratic Republic"
872,William Murray,1961-05-22,"Colemanchester, Fiji",2011-02-28,"Lake Matthew, Cote d'Ivoire"
873,Ricardo Bailey,1973-09-20,"Torresmouth, Timor-Leste",2022-03-05,"Lake Thomaschester, Sierra Leone"
874,Reginald Hernandez,1974-03-01,"West Jasonfort, Hong Kong",2016-07-21,"Courtneystad, French Polynesia"
875,Donald Callahan,1980-02-22,"Port Kristenville, Netherlands Antilles",2023-02-26,"Millershire, Libyan Arab Jamahiriya"
876,Daniel Ray,1983-04-03,"Troyberg, Lesotho",2024-04-19,"Hintonberg, Moldova"
877,Jared Strickland,1964-01-12,"Martinmouth, Korea",2004-11-25,"Waltersshire, Nauru"
878,Frank Lamb,1975-06-10,"Ronaldhaven, French Guiana",2015-10-10,"Angelamouth, Oman"
879,Kathy Butler,1979-09-19,"Stephaniehaven, Uganda",2023-02-18,"Christopherville, El Salvador"
880,Sharon Hays,1969-04-21,"West Brandi, France",2018-08-28,"East Chelsea, Bhutan"
881,Michael Johnson,1950-04-01,"East Allenshire, Saint Martin",2008-02-06,"Comptonborough, Mongolia"
882,Judy Walker,1977-04-21,"Bradleyside, Dominica",2020-02-16,"Mariafort, Tuvalu"
883,Richard Summers,1944-06-02,"West Kathleenshire, Venezuela",2025-02-07,"North Elizabethton, United States of America"
884,Nicole Schwartz,1976-08-24,"Smithfurt, Colombia",2023-04-10,"Elizabethfurt, Nepal"
885,Joan Alexander,1953-12-22,"Stephanieberg, Estonia",2008-05-14,"Nancyfurt, Peru"
886,Lauren Keller,1975-12-23,"Adamtown, Vietnam",2019-03-17,"Margaretville, Kyrgyz Republic"
887,Sandra Chang,1934-11-30,"Glendaton, United Arab Emirates",1998-04-09,"New Bill, South Georgia and the South Sandwich Islands"
888,Matthew Lewis,1935-12-14,"Sandraburgh, Burundi",1979-10-27,"Houstonville, Seychelles"
889,Deborah Friedman,1971-01-10,"New Crystal, Wallis and Futuna",2015-09-27,"Lake Chelsea, Guadeloupe"
890,Kimberly Holden,1960-12-23,"Alexfort, Brazil",2023-03-29,"Jasonstad, Afghanistan"
891,Christina Moore,1980-06-01,"Marthaborough, Albania",2020-09-11,"South Mary, Tonga"
892,Jennifer Nunez,1979-12-16,"New Dan, Norway",2023-05-07,"Lake Gwendolynport, Ireland"
893,Keith Gonzalez,1966-08-25,"East Jessica, Faroe Islands",2023-04-27,"Port Jaredville, Oman"
894,Danielle Petersen,1964-09-09,"East Angela, Saudi Arabia",2025-05-30,"Simmonsville, Italy"
895,Kristen Franklin,1961-01-06,"Angelatown, Guatemala",2003-10-27,"Ramosmouth, Croatia"
896,Tara Reed,1939-08-17,"Jamesport, Colombia",2003-08-02,"South Samanthamouth, Vanuatu"
897,Denise Calhoun,1939-12-04,"Lake Katherinebury, Timor-Leste",1984-09-06,"New Zacharyside, Pakistan"
898,Jeffrey Howard,1963-10-13,"Port Catherine, Guernsey",2007-05-14,"West Amber, Chad"
899,Joseph Wells MD,1948-03-31,"Heidimouth, Congo",2017-12-23,"Port Davidside, Rwanda"
900,Thomas Townsend,1958-07-09,"Port Kimberlyfurt, United States of America",2006-02-10,"East Matthew, Samoa"
901,Russell Joyce,1973-08-24,"Jaclyntown, Dominica",2023-02-10,"Horneberg, Macao"
902,Monica Navarro,1953-01-03,"Estradamouth, Dominica",2001-09-14,"Hornview, Albania"
903,Eric Zuniga,1935-03-15,"Ayersfort, French Guiana",2015-10-19,"Bushchester, Iceland"
904,Eric Silva,1944-08-16,"South William, Macao",1985-08-06,"Simmonsborough, Christmas Island"
905,Christina Wilkinson,1939-03-28,"North Marissastad, United States Virgin Islands",1988-11-24,"West Katherineshire, Belgium"
906,Miguel Young,1957-09-04,"West Michaela, Heard Island and McDonald Islands",2010-06-03,"Tonyafurt, British Virgin Islands"
907,Scott Hamilton,1964-03-02,"New Carolynborough, Ukraine",2011-10-06,"New Melissa, Venezuela"
908,Kimberly Lee,1964-09-23,"Port Johnchester, Namibia",2011-11-04,"Port James, Guatemala"
909,Christopher Murphy,1936-12-02,"Jacobside, Togo",1982-07-15,"South Jonathan, Aruba"
910,Cynthia Jimenez,1985-03-10,"New Adamhaven, Bahamas",2025-07-17,"Port Christopherland, Austria"
911,Robert Chan,1962-03-08,"East Jacob, New Caledonia",2015-03-06,"Kemphaven, Japan"
912,Seth Fuller,1977-10-30,"Stevenborough, Togo",2022-01-31,"Gonzalezview, Ecuador"
913,Gloria White,1952-04-28,"Jodimouth, American Samoa",2009-06-24,"Candiceton, Cook Islands"
914,Erin Gregory,1943-01-30,"Port Audreyville, Mauritius",1986-10-02,"Moodyborough, Cape Verde"
915,Kristine Perez,1936-03-08,"Lake Sharonberg, Falkland Islands (Malvinas)",1991-04-22,"Lake Anita, Russian Federation"
916,Megan Rivera,1965-10-29,"Russellchester, Mauritius",2017-02-11,"Greenstad, Malta"
917,Brandy Johnson,1958-10-29,"Jenniferfurt, Taiwan",2025-08-20,"North Ruth, Eritrea"
918,Morgan Rodriguez,1972-06-18,"New Steven, Cape Verde",2013-01-23,"South Mistyfort, Tanzania"
919,Christopher Washington,1950-02-22,"North Daniellefurt, Palestinian Territory",2003-12-30,"New Mariaport, Trinidad and Tobago"
920,Katherine Blanchard,1944-09-27,"Lake Darrell, Burkina Faso",1988-10-22,"Bobtown, Liechtenstein"
921,Denise Palmer,1938-10-07,"Gateston, Saint Kitts and Nevis",1996-01-18,"Danielsfurt, Madagascar"
922,Jose Mills,1968-03-07,"Hillstad, Mozambique",2015-01-24,"Lake Deniseville, Botswana"
923,Debbie Santos,1977-02-07,"Christineshire, Aruba",2020-01-18,"New Michael, Palestinian Territory"
924,Michael Dennis,1973-08-05,"East Michaeltown, Botswana",2015-03-23,"Port Paulfurt, Greenland"
925,Christopher Le,1981-05-03,"South Charlesshire, Afghanistan",2023-05-27,"Katherineville, Pakistan"
926,Julie Anderson,1961-01-12,"Mercerbury, Guinea-Bissau",2004-08-31,"South Joymouth, Syrian Arab Republic"
927,Emily Sparks,1961-09-20,"East Amber, Saint Helena",2016-10-16,"Michaelfort, Falkland Islands (Malvinas)"
928,Bradley Baker,1956-11-07,"East Lauren, Saint Martin",1998-03-04,"North Kathleenfort, Poland"
929,Debra Ritter,1942-08-13,"Mooreshire, Marshall Islands",2010-10-03,"South Kaylaland, Mauritania"
930,Don Jones,1940-04-23,"North Christine, Gambia",1980-12-15,"Davisfurt, Moldova"
931,Chad Calderon,1966-05-08,"Amyview, Oman",2011-10-26,"Tashaton, Netherlands"
932,Charles Beard,1934-11-01,"Stevetown, Colombia",1994-09-15,"West Greg, Morocco"
933,Melinda Matthews,1942-08-27,"New Matthew, Tanzania",2018-11-29,"Allenchester, Canada"
934,Jessica Bentley,1974-09-05,"Hintonville, Madagascar",2016-04-25,"Nolanmouth, Kiribati"
935,Debbie Diaz,1954-10-19,"New Sheryltown, Cameroon",2008-03-09,"Bellborough, New Zealand"
936,Martin Jones,1935-06-11,"West Whitneyfurt, San Marino",2014-06-10,"Danielsside, Switzerland"
937,Christie Butler,1948-12-26,"Lake Christina, Honduras",1991-12-05,"Margaretburgh, Mauritania"
938,William Moore,1954-06-29,"Justinshire, Kyrgyz Republic",2023-02-08,"Moorefurt, Iceland"
939,Robert Ellis,1977-05-06,"East Kathleen, Benin",2024-07-24,"Samanthatown, Antarctica (the territory South of 60 deg S)"
940,Maria Bean,1950-12-10,"Craigmouth, Tunisia",1999-06-29,"Seanmouth, United States of America"
941,Andrew Duarte,1939-08-08,"West Amandachester, Mongolia",2025-08-20,"Mitchellview, Tonga"
942,Ashlee Olson,1938-10-11,"Elizabethfort, Paraguay",2014-06-10,"Kellihaven, Bosnia and Herzegovina"
943,Reginald Cox,1979-07-07,"East Alanhaven, Uganda",2021-02-15,"Adrianaville, Tajikistan"
944,Sarah Jones,1982-07-10,"Shawnhaven, Switzerland",2025-06-18,"Rickton, Benin"
945,Megan Wang,1942-01-01,"South Judithtown, Guatemala",2011-03-29,"Martinville, Hong Kong"
946,Christina Wilson,1949-09-21,"Gabriellaside, Belarus",2020-12-25,"New Kaylaberg, Saint Barthelemy"
947,Chelsea Morris,1950-02-06,"Millerland, Philippines",2011-06-05,"East Daniel, Congo"
948,Anne Santiago,1968-10-29,"West Jeffburgh, Micronesia",2017-04-03,"New Jenniferstad, Norway"
949,Rebecca Butler,1962-03-28,"Lake Alexis, Japan",2020-10-14,"East Leahport, Zimbabwe"
950,Caroline Allen,1943-06-29,"Jonesville, Namibia",2007-08-22,"Diazport, Mongolia"
951,Peter Maldonado,1980-10-08,"West Richard, Liechtenstein",2021-11-17,"West Darrell, American Samoa"
952,Michael Castro,1982-12-04,"North Timothyborough, Luxembourg",2023-09-10,"Lake Pennymouth, Equatorial Guinea"
953,Shawn Tate DDS,1969-02-02,"Longhaven, Kyrgyz Republic",2015-01-24,"Jasonton, Lesotho"
954,Robert Chaney,1952-04-12,"New Daniel, Saint Kitts and Nevis",2018-04-07,"East Tamifurt, Falkland Islands (Malvinas)"
955,Natasha Jensen,1940-11-25,"Jonesville, Taiwan",1985-01-07,"New Andrewberg, Malawi"
956,Nathan Smith,1955-08-22,"Port Leahmouth, Kiribati",2008-06-09,"Matthewport, Peru"
957,Alison Cardenas,1957-08-16,"Brandonberg, Saint Barthelemy",2010-07-22,"Martinezshire, Grenada"
958,Julie Williams,1971-10-23,"Brianhaven, Liechtenstein",2025-01-25,"North David, Puerto Rico"
959,Julie Washington,1978-06-25,"Taylorbury, Mozambique",2023-05-17,"New Jonathonland, French Guiana"
960,Sarah Perry,1936-12-07,"Johnton, Botswana",2009-04-29,"West Taylor, Saint Kitts and Nevis"
961,Anna Barton,1961-10-24,"New Jacqueline, Barbados",2022-08-06,"Lake Alejandro, Solomon Islands"
962,Jerry Thompson,1947-04-15,"Patriciafurt, British Indian Ocean Territory (Chagos Archipelago)",2012-11-23,"South Josephstad, Niue"
963,Bradley Duncan,1950-06-12,"Port Blake, Albania",2014-05-14,"Deborahland, Marshall Islands"
964,Joshua Ryan,1956-04-29,"Snowberg, Kyrgyz Republic",2014-02-21,"Port Deanland, Dominica"
965,Jacqueline Williams,1957-10-03,"East Gregory, Saint Barthelemy",2009-01-08,"Lake Cynthiastad, Guinea-Bissau"
966,Roy Elliott,1948-07-31,"Andrewmouth, South Africa",2012-08-08,"Kempfort, Cocos (Keeling) Islands"
967,Christina Murphy,1982-03-20,"North Matthew, Kazakhstan",2024-01-20,"Lake James, Jamaica"
968,Todd Rodriguez,1984-07-16,"Ericmouth, Bolivia",2024-11-27,"Fullerbury, Uzbekistan"
969,Wesley Ramos,1961-10-22,"Griffinland, Djibouti",2012-01-11,"South Manuel, Puerto Rico"
970,Nancy Jones,1973-02-20,"Joshuaton, Guinea-Bissau",2019-04-15,"East Amytown, Grenada"
971,Briana Roman,1949-01-10,"South Stevenside, Marshall Islands",1992-09-01,"South Markville, Cayman Islands"
972,Ian Smith,1940-03-14,"North Andrew, Chile",1996-01-25,"New Kristinview, Malaysia"
973,Kenneth Yoder,1979-10-13,"East Timothy, Trinidad and Tobago",2023-04-30,"Stanleyview, Congo"
974,Lori Armstrong,1968-01-04,"South Diane, Barbados",2022-07-20,"North Shannon, Japan"
975,John Miller,1950-08-13,"New Bryanburgh, Estonia",1995-10-17,"Ianbury, Honduras"
976,Mr. Joshua Pennington PhD,1970-06-19,"New Bradley, Bosnia and Herzegovina",2025-03-14,"Aguilarport, Argentina"
977,Kimberly Lawson,1976-11-17,"Port Michael, Mali",2023-05-09,"Sarahbury, Germany"
978,Michael Henderson,1971-04-22,"West Stevenmouth, Egypt",2013-04-06,"Lake Lauren, Gibraltar"
979,Carolyn Barnes,1955-11-01,"South Davidtown, Syrian Arab Republic",2017-09-07,"Kaufmanbury, British Indian Ocean Territory (Chagos Archipelago)"
980,Mr. Michael Stephenson,1956-01-12,"Gardnerbury, Liberia",2017-05-11,"New Johnmouth, Bahrain"
981,Bradley Crawford,1942-01-07,"Johnsonberg, Tunisia",2021-09-27,"New Larry, Congo"
982,Brianna Turner MD,1980-02-01,"Davidbury, Lesotho",2020-04-16,"Melindachester, Saudi Arabia"
983,Patricia Cross,1971-08-07,"South Oscar, Saint Pierre and Miquelon",2019-03-11,"Jameshaven, Liberia"
984,Juan Smith,1980-08-18,"South Sherri, Brunei Darussalam",2024-01-30,"East Timothyburgh, El Salvador"
985,Laurie Wang,1944-04-18,"Garyshire, Antigua and Barbuda",1986-06-21,"East Richardland, Madagascar"
986,Michael Rollins,1973-07-21,"Lake David, Barbados",2016-02-12,"New Jennifer, Ethiopia"
987,Joseph Collins,1935-08-01,"Romerochester, Suriname",1995-03-09,"Morganside, Mali"
988,Anthony Cook,1941-03-26,"Arthurview, Mauritius",1985-07-19,"Carrilloberg, Burundi"
989,Tammy Page,1972-01-10,"Lake Amy, Myanmar",2016-04-04,"East Danielfort, Ghana"
990,Joseph Hunter,1971-04-09,"East Jenniferburgh, Sri Lanka",2012-08-21,"Bookerhaven, Slovakia (Slovak Republic)"
991,Brett Reeves,1945-01-28,"Blackwellland, Paraguay",2006-10-11,"Lake Travis, South Georgia and the South Sandwich Islands"
992,Erik Parker MD,1962-10-11,"Matthewside, Western Sahara",2022-10-01,"Amberburgh, Syrian Arab Republic"
993,Kimberly Mcdonald,1965-07-03,"Jeremiahshire, Cape Verde",2011-06-25,"Nealtown, Samoa"
994,Natalie Young,1982-06-04,"Port Suzanne, Saint Kitts and Nevis",2024-04-29,"Desireemouth, Korea"
995,Debbie Lee,1938-01-27,"Jameston, Algeria",2019-04-14,"Joestad, Dominican Republic"
996,Melanie Roberts,1976-01-30,"East Justinchester, Myanmar",2019-08-10,"Lake Tracymouth, Fiji"
997,Michelle Mendoza,1937-11-04,"Lawsonmouth, Belize",2009-02-09,"Port Michael, Maldives"
998,Henry Hughes,1953-01-17,"Lake Nancyfort, Korea",2009-03-19,"Reidland, Ecuador"
999,Katrina Johnson,1981-01-07,"South Ericshire, Georgia",2024-08-30,"Hessshire, Bhutan"
1000,Matthew Bruce,1936-10-05,"Port Yvonne, Saint Barthelemy",1976-10-29,"Lake Christina, Kenya"
1001,Spencer Newman,1942-10-03,"West Ashley, Sri Lanka",1999-01-01,"Williamhaven, Serbia"
1002,Matthew Griffin,1961-02-19,"Jessicaburgh, Barbados",2005-04-27,"Andrebury, Saint Lucia"
1003,Tammy Butler,1970-12-30,"East Lisa, Bangladesh",2013-03-01,"Lake Lindaside, New Caledonia"
1004,Andrew King,1948-07-30,"Wellsbury, Latvia",2000-06-03,"Hintonstad, Rwanda"
1005,Lance Collins,1960-11-14,"Meganbury, Myanmar",2002-10-31,"New Williamburgh, Netherlands Antilles"
1006,Daniel Santiago,1985-08-31,"Port Michael, Bulgaria",2025-08-31,"New Shanemouth, Montenegro"
1007,Lori Bailey,1954-02-04,"Keithtown, Togo",2009-04-15,"New Mary, New Zealand"
1008,Nicholas Pearson DDS,1984-01-01,"South John, Timor-Leste",2025-02-18,"West Cynthiabury, Western Sahara"
1009,Nancy Rasmussen,1937-09-10,"Daviesside, Syrian Arab Republic",1981-09-15,"East Holly, Belgium"
1010,Jenny Jackson,1980-07-22,"Port Lauren, Malta",2022-10-22,"North Elizabeth, Denmark"
1011,Cathy Pierce,1954-06-13,"Michaelchester, Portugal",2002-06-26,"Steeleshire, Pitcairn Islands"
1012,Dustin Anthony,1963-07-02,"Martinbury, Barbados",2003-09-12,"Salasfort, American Samoa"
1013,Gregory Hanson,1983-11-25,"Joshuaborough, Pakistan",2024-06-22,"Port Traceystad, Rwanda"
1014,Derrick Johnson,1954-06-10,"New Christinemouth, United Kingdom",2014-04-27,"West Rachel, Saint Helena"
1015,Angela Anderson,1985-05-10,"Danielburgh, Costa Rica",2025-06-18,"Woodsburgh, Algeria"
1016,Eric Butler,1942-12-16,"Port Hollyborough, Papua New Guinea",1995-02-27,"South Austin, Namibia"
1017,Nicole Green,1936-08-29,"Lauraview, New Caledonia",2004-02-21,"Nicholeshire, Equatorial Guinea"
1018,Rachel Williams,1977-03-25,"South Thomas, British Indian Ocean Territory (Chagos Archipelago)",2023-08-28,"Jeffreychester, Angola"
1019,Jessica Barnes,1970-10-22,"Michaelhaven, Swaziland",2018-04-10,"Dickersonville, Comoros"
1020,Margaret Moore,1964-02-08,"Martinezstad, Jordan",2008-03-23,"North Eric, Moldova"
1021,Sharon Holder,1970-08-17,"Williamsshire, Romania",2012-05-01,"Lake Jamesbury, Brazil"
1022,Jennifer Cardenas DVM,1940-06-13,"Sharonland, Cameroon",2015-12-16,"Bankshaven, Falkland Islands (Malvinas)"
1023,Devin Foley,1977-01-01,"East Emily, Tonga",2024-02-19,"Taylorstad, Italy"
1024,William Smith,1962-04-20,"South Karenstad, Singapore",2023-04-29,"South Angelafurt, Micronesia"
1025,Kevin Stevens,1958-12-24,"New Mariaview, Nepal",1999-03-14,"Patrickshire, Slovakia (Slovak Republic)"
1026,Julie Smith,1958-10-22,"Flemingview, Burundi",2002-01-28,"South Kristaborough, Sweden"
1027,Shawn Martin,1939-02-05,"South Carlaborough, Serbia",2010-09-01,"Lake Kylie, Sudan"
1028,Mrs. Darlene Bailey,1957-01-14,"New Angelafurt, Guernsey",2020-05-08,"New Yvette, Taiwan"
1029,Ernest Harris,1936-12-02,"South Carolineville, Seychelles",2022-04-04,"Maddenberg, Hong Kong"
1030,Tammy Salazar,1970-02-18,"North Emily, Qatar",2020-12-01,"West Steven, Kiribati"
1031,Jason Thomas,1949-08-01,"South Monica, Saint Helena",2005-11-29,"Ronaldburgh, Christmas Island"
1032,Kevin Alexander,1958-07-26,"Dianemouth, Guatemala",2023-12-02,"Jonesstad, Timor-Leste"
1033,Sandra Pratt,1980-02-04,"South Haydenhaven, Italy",2020-04-01,"South Jessica, Uganda"
1034,William York,1938-04-08,"North Elizabeth, Latvia",1981-12-17,"Darleneburgh, Tuvalu"
1035,Melissa Price,1976-02-01,"East Christophershire, Dominican Republic",2019-12-29,"Port Krystalland, Ireland"
1036,Brittany Rodriguez,1980-12-03,"Garciabury, Libyan Arab Jamahiriya",2021-03-23,"Courtneyfurt, Micronesia"
1037,Gregory Cobb,1952-08-20,"Brandyberg, Russian Federation",1994-10-18,"New Manuel, Guyana"
1038,Erica Sanchez,1937-04-02,"Wattsbury, Bahrain",2001-01-31,"Sarahmouth, Guam"
1039,Lisa Gilmore,1966-02-22,"Vanessafurt, Cameroon",2025-08-07,"Lopezberg, Azerbaijan"
1040,Mary Ware,1955-06-28,"North Donnaburgh, Guam",2004-12-12,"Rileyshire, Turkmenistan"
1041,Eugene Jefferson,1983-02-07,"Davidton, South Georgia and the South Sandwich Islands",2024-04-23,"North Jennifer, San Marino"
1042,Lori Holt,1950-03-11,"New Austinstad, Cuba",1994-07-10,"Michaelshire, Armenia"
1043,Amy Peterson,1982-07-17,"Port Joseville, Portugal",2024-05-06,"Danielsmouth, Spain"
1044,Brandon Ward,1947-04-24,"Mathisland, Hong Kong",2021-05-01,"Swansonfurt, Pakistan"
1045,Joseph Patton,1955-07-23,"West Barbaraton, Italy",2010-10-29,"East Alexisland, Slovenia"
1046,April Santiago,1965-06-02,"Jenningshaven, French Polynesia",2011-09-15,"Simschester, Sudan"
1047,Dawn Allen,1946-10-21,"West Angelview, Iceland",2010-04-27,"Lake Marychester, Solomon Islands"
1048,Katie Arias,1966-07-13,"East Ryanville, Albania",2013-01-05,"West Debbietown, Cameroon"
1049,Cory Schwartz,1984-06-19,"South Jacquelineshire, Barbados",2024-12-31,"New Joshuaburgh, Lithuania"
1050,Ashley Duke,1956-12-17,"Hansonburgh, Hong Kong",2021-10-07,"Rothside, Hungary"
1051,Charles Harris,1949-05-26,"Robertport, Finland",2005-08-01,"Garrettmouth, Mali"
1052,Danny Melendez,1969-11-21,"East Michael, Suriname",2022-05-04,"New Andrewfort, Nigeria"
1053,Toni Hall,1969-03-02,"Port Janet, Gabon",2010-04-02,"Samanthamouth, Lithuania"
1054,Amanda Everett,1941-02-27,"Hectormouth, Kenya",2000-08-09,"Justinchester, Andorra"
1055,Brian Kirby,1949-03-23,"North Brianview, Cayman Islands",2012-01-03,"Millerport, Ukraine"
1056,Nina Black,1972-05-27,"Smithbury, Cyprus",2024-12-20,"Bethville, Senegal"
1057,Mary Clayton,1943-08-25,"New Brittany, Saint Lucia",1988-02-10,"Port Michelle, Benin"
1058,Mark Short,1965-12-19,"Port Jeffreymouth, American Samoa",2024-12-23,"Forbesfort, Guinea"
1059,Brian Mullen,1940-10-21,"Port Aprilside, Mexico",1994-06-12,"Port Gabriel, Dominican Republic"
1060,Thomas Thomas,1947-08-01,"Ashleystad, Turkey",2018-05-06,"Jonesview, Seychelles"
1061,Linda Buchanan,1954-09-16,"North Karlastad, Bouvet Island (Bouvetoya)",1996-01-16,"Brendanberg, Hungary"
1062,Christopher Stanton,1984-12-08,"Palmerview, Lesotho",2025-02-17,"Jasonmouth, American Samoa"
1063,Alexander Foster,1976-04-20,"Stephensonport, Paraguay",2019-03-02,"Lauraborough, Azerbaijan"
1064,Emily Barker,1979-04-04,"New Janet, Serbia",2023-09-15,"New Nicoletown, Kyrgyz Republic"
1065,Calvin Mcfarland,1963-09-18,"Ayalatown, Russian Federation",2016-07-18,"Bruceview, Guyana"
1066,Daniel Davis,1949-03-01,"West Tyler, Congo",2017-04-25,"Davidland, Sri Lanka"
1067,Mr. Andrew Jenkins,1958-04-28,"Leslieland, Congo",2005-07-06,"North Robyn, Chad"
1068,Mark Clark,1956-07-14,"Lake Paulstad, Gabon",2024-04-28,"Adamschester, Paraguay"
1069,Heidi Smith,1937-08-10,"Nicoleland, Cameroon",2012-04-16,"Josephton, New Caledonia"
1070,Heather Schmidt,1964-10-08,"Willieberg, Burkina Faso",2005-08-27,"Joseshire, Aruba"
1071,Elizabeth Anderson,1974-12-26,"Beckyberg, Equatorial Guinea",2025-08-26,"Timothyfurt, Marshall Islands"
1072,Leslie Rivers,1947-09-21,"West Earlmouth, Vanuatu",2007-05-06,"West Taraville, Costa Rica"
1073,William Scott,1940-07-01,"Silvastad, Congo",1993-03-18,"East Stacyfort, Trinidad and Tobago"
1074,Michael Jones,1960-01-04,"West Tinaborough, Turkey",2002-11-17,"South Benjaminview, Vanuatu"
1075,Justin Walker,1947-08-31,"Lake Robert, Morocco",1999-12-18,"South Aaronfurt, Cambodia"
1076,William May,1979-11-29,"Bradyland, Vanuatu",2021-08-08,"Tylerfurt, Portugal"
1077,Charles Blackwell,1984-01-29,"Freemanberg, Lithuania",2024-10-26,"East Gerald, Papua New Guinea"
1078,Jeremiah Stark,1976-09-10,"Annehaven, Vietnam",2018-04-20,"Craigberg, Dominica"
1079,Raven Torres,1940-08-28,"Ericbury, Montenegro",2021-12-01,"Hamiltonland, Anguilla"
1080,Elizabeth Johnson,1967-10-02,"East Wendyshire, Bulgaria",2021-05-14,"Michaelton, Netherlands"
1081,David Meza,1974-06-07,"Lucaston, Finland",2016-09-03,"North Paul, Norway"
1082,Derrick Cummings,1969-04-06,"New Samanthamouth, Ukraine",2016-01-13,"Teresashire, Uganda"
1083,Kelly Williams,1940-04-15,"North Teresashire, Lithuania",2020-09-18,"Marcuschester, Martinique"
1084,Tyler George,1983-08-08,"Port Timothy, Cape Verde",2024-03-02,"Rebeccaland, Tokelau"
1085,Tamara Powell,1965-05-20,"South Johnberg, Iraq",2022-07-28,"New Linda, Wallis and Futuna"
1086,Linda Jenkins,1981-08-24,"Susanhaven, Cook Islands",2024-12-02,"Lake Kenneth, Hong Kong"
1087,Abigail Garcia,1945-08-12,"New Charlesport, Montserrat",1991-11-12,"Amandabury, Iraq"
1088,Connor Thomas,1976-06-11,"Robertborough, Northern Mariana Islands",2020-08-30,"Hoodburgh, Japan"
1089,Kenneth West,1948-03-01,"Wileyside, Niue",2007-01-15,"Port Michaelville, Guernsey"
1090,Leah Sanders,1984-12-18,"Colemanside, Saint Martin",2025-05-22,"Andersonmouth, Bermuda"
1091,Clarence Walker,1960-07-14,"Reginaldfort, Eritrea",2003-04-29,"Mooreville, South Africa"
1092,Gail Phillips,1970-06-04,"Raymondview, Fiji",2016-11-03,"Mooreton, Uganda"
1093,Joseph Farmer,1935-02-26,"West Sarah, Central African Republic",2002-09-10,"Stephanieshire, Congo"
1094,Mary Wells,1981-10-30,"North Raymond, Belarus",2025-04-21,"Youngborough, Ukraine"
1095,Christine Wilkerson,1942-09-02,"North Kimberly, Nicaragua",2017-08-31,"Port Lucaston, Hungary"
1096,Christopher Smith,1955-06-11,"Simpsonmouth, Saint Martin",2021-06-25,"New Jeremymouth, Madagascar"
1097,Carlos Williamson,1981-02-25,"Bowersberg, Cocos (Keeling) Islands",2023-05-27,"New Sarah, Sri Lanka"
1098,Kimberly Smith,1957-10-19,"Johnsonhaven, Samoa",2013-09-15,"Jessicaport, Cambodia"
1099,Jason Anderson,1981-12-25,"Whiteberg, Mauritius",2025-01-29,"Brownville, Zimbabwe"
1100,Christopher Henderson,1980-04-19,"West Tina, Panama",2022-11-28,"New Bridgetborough, Ethiopia"
